﻿Name,Beschreibung,Funktion,PCF und CCF,Komplexität,Kosten,Link,Auflösung
Ecocockpit,"Berechnung des CO2-Footprints, erlaubt auch die Anrechnung/das Verteilen von Positionen auf Prozesse (Prozessschritte) und Produkte (Teilprodukte) (Potenziell relevante Kategorien wie Plastik, Metalle, … vorhanden)",Berechnung,CCF,Mittel,kostenlos,https://ecocockpit.de/angebote/ecocockpit/,GHG-Faktoren
Escher,Relevanz für Elektronik unklar.,Berechnung,CCF,Hoch,kostenpflichtig,https://www.pwc.de/en/sustainability.html,unklar
ClimateNeutralGroup,"Berechnung des CO2-Fußabdrucks, die Berechnung des CO2-Fußabdrucks aus der Lieferkette wird nicht unterstützt. Fokus auf Kompensation (kein Scope 3.1)",Berechnung,CCF,Niedrig,kostenlos,https://www.co2-compensatie.nl/en/,GHG-Faktoren
Emex Carbon Management,Eher komplexes-Management-Tool,Berechnung,CCF,Hoch,kostenpflichtig,https://emex.com/carbon-management/,GHG-Faktoren
Verso,"Es gibt verschiedene Versionen. Eine Basis-Version mit relativ einfachem Rechner, aber auch weiterführende Management-Versionen (ggf. in andere Liste aufnehmen und aufteilen?)",Berechnung,CCF,Hoch,kostenpflichtig,https://verso.de/csr-hub-climate/,GHG-Faktoren
DFGE CCF,Berechnung des CCF nach einer “Top-Down-Methode”,Berechnung,CCF,Hoch,kostenpflichtig,https://dfge.de/corporate-carbon-footprint/,GHG-Faktoren
Plan A,"Verschiedene Software-Varianten zur Berechnung ",Berechnung,CCF,Mittel,kostenpflichtig,https://plana.earth/product,GHG-Faktoren
ClimateHero,"Online-Fragebogen für Nicht-Produzierende Unternehmen. Fokus auf Kompensation. (Datenhaltung wird abgefragt, es werden Fragen gestellt, ob refurbished IT verwendet wird, und wie oft IT ersetzt wird)",Berechnung,CCF,Niedrig,kostenlos,https://climatehero.typeform.com/to/f93aKdet?typeform-source=climatehero.me#source=climateherome,GHG-Faktoren
Plan A Carbon Scanner,Online-Fragebogen (kein Scope 3.1),Berechnung,CCF,Niedrig,kostenlos,https://plana.earth/carbon-scanner-en,GHG-Faktoren
EPA Simplified Emissions Calculator,Excel-basiertes Werkzeug zur GHG-Fußabdruck-berechnung für kleine unternehmen (kein Scope 3.1),Berechnung,CCF,Mittel,kostenlos,https://www.epa.gov/climateleadership/simplified-ghg-emissions-calculator,GHG-Faktoren
Thankyounature,"Berechnung des CO2-Fußabdrucks für Büros (Nicht-produzierende Unternehmen). Fokus uaf Kompensation. (Frage nach Anzahl E-Mails, Frage nach Anzahl IT-Geräte wie Laptops, Server, …)",Berechnung,CCF,Niedrig,kostenlos,https://www.thankyounature.org/,GHG-Faktoren
NatureOffice,NatureOffice erlaubt die Berechnung eines CO2-Fußabdrucks für nicht-produzierende Unternehmen mit weniger als 10 Standorten. Fokus auf Kompensation (unklar in wie weit die Ausgaben-Kategorie “Officematerialien” Elektronik-Geräte fasst),Berechnung,CCF,Niedrig,kostenlos,https://www.gemeinsam-ist-es-klimaschutz.de/corporate/compensate,GHG-Faktoren
Estell,Eher Beratungsservice (vermutlich wie die IO-Datenbanken),Berechnung,CCF,Mittel,kostenpflichtig,https://systain.com/leistungen/,GHG-Faktoren
Klimaktiv,"Basisversion ohne Scope 3.1, erweiterte Versionen mit 3.1-Faktoren und ggf. individueller Berechnung",Berechnung,CCF,Mittel,kostenpflichtig,https://www.klimaktiv.de/de/299/unternehmen.html,GHG-Faktoren
SCO2PES,"Berechnung des CO2-Fußabdrucks auf Basis von Finanzdaten, Integration in z.B. ERP-Systeme vorgesehen, integriert mit weiteren Datenmanagement-Tools des Software-Herstellers.",Berechnung,CCF,Hoch,kostenpflichtig,https://global-climate.de/software/scopes-carbon-footprint,GHG-Faktoren
INEC-Scope3Analyzer,Der Scope3Analyzer erlaubt die Berechnung des Scope3-Fußabdrucks auf Basis von Energieverbräuchen und Einkaufsdaten (Sektoren mit Elektronik-Bezug vorhanden),Berechnung,CCF,Mittel,kostenlos,https://scope3analyzer.pulse.cloud/,GHG-Faktoren
Entega,Fokus auf Kompensationszahlung. (kein Scope 3.1),Berechnung,CCF,Niedrig,"kostenlose Berechnung, Berichtgenerierung kostenpflichtig",https://www.entega.de/co2-rechner/,GHG-Faktoren
Climatepartner CCF,Berechnung des CCF.,Berechnung,CCF,Mittel,kostenpflichtig,https://www.climatepartner.com/de/leistungen/ccf-corporate-carbon-footprint,GHG-Faktoren
Scope 3 Evaluator,Scope 3 Evaluator ist ein webbasierter Fragebogen. Der CO2-Fußabdruck wird auf Basis von Einkaufsdaten berechnet (Sektoren mit Elektronik-Bezug vorhanden),Berechnung,CCF,Mittel,kostenlos,https://quantis-suite.com/Scope-3-Evaluator/,GHG-Faktoren
2030 Calculator,Tier 1. Berechnung für “Household Appliances” möglich. Es können “Electronics”-Teile angegeben werden.,Berechnung,CCF,Mittel,kostenlose Basisvariante mit kostenpflichtiger Variante,https://www.2030calculator.com/,GHG-Faktoren
EPEAT,Tier 1,Berechnung,CCF,Niedrig,kostenlos,https://epeat.net/calculators,"GHG-Faktoren, Umweltfaktoren"
Climatepartner PCF,unklar,Berechnung,CCF,Mittel,kostenpflichtig,https://www.climatepartner.com/de/leistungen/pcf-product-carbon-footprint,GHG-Faktoren
Yook,Tier 1,Berechnung,CCF,Mittel,kostenpflichtig,https://www.yook.one/,GHG-Faktoren
EcoReport-Tool,Tier 1(-3?),Berechnung,CCF,Mittel,kostenlos,https://ec.europa.eu/docsroom/documents/5308/attachments/1/translations,"GHG-Faktoren, Umweltfaktoren"
Boavizta Server-Berechnung,Tier 1,Berechnung,CCF,Niedrig,kostenlos,https://dataviz.boavizta.org/serversimpact,GHG-Faktoren
GHG Calculation tools,Tier 3-4,Berechnung,CCF,Mittel,kostenlos,https://ghgprotocol.org/calculation-tools#sector_specific_tools_id,GHG-Faktoren
PAIA,Tier 1,Berechnung,CCF,Mittel,kostenpflichtig,https://msl.mit.edu/projects/paia/paia-tools,GHG-Faktoren
Exiobase,"Input/Output-Datenbank. Die Datenbank enthält u.a. Kategorien “Manufacture of electrical machinery” oder “Mining of copper ores”, die für verschiedene Stufen der Elektronik-Lieferkette relevant sind. Ausgabenbasiert.",Berechnung,CCF,Hoch,"kostenlos einsehbar, veröffentlicht unter offener Lizenz (CC BY-SA 4.0)",https://www.exiobase.eu/,"GHG-Faktoren, LCI, Umweltfaktoren"
Gabi,LCA-Daten für verschiedene Produkte. Enthält u.a. Datensätze für Metalle und Elektronik-Komponenten. Durchschnittsdaten.,Berechnung,CCF,Hoch,kostenpflichtig,https://sphera.com/life-cycle-assessment-lca-database/,"GHG-Faktoren, LCI, Umweltfaktoren"
Sustamize,LCA-Datenbank mit Fokus auf GHG-Faktoren und Elektronik. Enthält u.a. Daten zu Materialien und Elektronik-Komponenten. Umfang von LCI unklar. Durchschnittsdaten.,Berechnung,CCF,Mittel,kostenpflichtig,https://www.sustamize.com/data#reports,GHG-Faktoren
WIOD,"Input/Output-Datenbank. Die Datenbank enthält u.a. Kategorien wie “Manufacture of computer, electronic and optical products”, “Mining and Quarrying”, …, die für verschiedene Stufen der Elektronik-Lieferkette relevant sind. Ausgabenbasiert.",Berechnung,CCF,Hoch,"kostenlos einsehbar, veröffentlicht unter offener Lizenz (CC BY 4.0)",https://www.rug.nl/ggdc/valuechain/wiod/?lang=en,"GHG-Faktoren, LCI, Umweltfaktoren"
Product Environmental Footprints,LCA-Daten für verschiedene Produkte. Enthält u.a. Datensätze für Metalle und Elektronik-Komponenten. Durchschnittsdaten.,Berechnung,CCF,Hoch,kostenlos für bestimmte Studienzwecke nutzbar; für andere als die definierten Zwecke sind ggf. Lizenzen zu erwerben,https://nexus.openlca.org/database/Environmental%20Footprints,"GHG-Faktoren, LCI, Umweltfaktoren"
UK Government conversion factors,"GHG-Faktoren für verschiedene Materialien. Die Datenbank enthält GHG-Faktoren, die für verschiedene Lieferkettenstufen relevant sind z.B. für “Metals”, “Plastics” oder “Electrical Items -IT”. Unklar ob Durchschnittsdaten oder Ausgabenbasiert.",Berechnung,CCF,Mittel,"kostenlos einsehbar, Lizenzierung unklar",https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,GHG-Faktoren
Ademe,"GHG-Faktoren in verschiedenen Kategorien. Enthält (laut Angaben bei Negaoctet) GHG-Faktoren für Komponenten und Geräte, ggf. auch für weitere Lieferkettenstufen. Durchschnittsdaten.",Berechnung,CCF,Mittel,"kostenlos einsehbar, das herunterladen der Daten erfordert eine Lizenz",https://bilans-ges.ademe.fr/en/accueil,GHG-Faktoren
Probas,LCA-Daten für verschiedene Produkte. Enthält u.a. Datensätze für Metalle und Elektronik-Komponenten. Durchschnittsdaten.,Berechnung,CCF,Mittel,"kostenlos einsehbar und herunterladbar, Lizenz unklar","https://www.probas.umweltbundesamt.de/php/index.php ","GHG-Faktoren, LCI, Umweltfaktoren"
BAFA CO2-Faktoren,"GHG-Faktoren für Materialien. Es werden GHG-Faktoren für Materialien gelistet, die für die Elektronik-Lieferkette relevant sind. Unklar ob Durchschnittsdaten oder Ausgabenbasiert.",Berechnung,CCF,Niedrig,"kostenlos einsehbar, keine weiteren Lizenzinformationen",https://www.bafa.de/SharedDocs/Downloads/DE/Energie/eew_infoblatt_co2_faktoren_2021.pdf?__blob=publicationFile&v=5,GHG-Faktoren
EcoInvent,LCA-Daten für verschiedene Produkte. Enthält u.a. Datensätze für Metalle und Elektronik-Komponenten. Durchschnittsdaten.,Berechnung,CCF,Hoch,kostenpflichtig,https://ecoinvent.org/,"GHG-Faktoren, LCI, Umweltfaktoren"
Eora,"Input/Output-Datenbank. Die Datenbank enthält u.a. Kategorien wie “Mining and Quarrying”, “Metal Products”, …, die für verschiedene Stufen der Elektronik-Lieferkette relevant sind. Ausgabenbasiert.",Berechnung,CCF,Hoch,"kostenpflichtige Lizenzen, für akademische Institutionen ist eine kostenfreie Lizenz verfügbar",https://worldmrio.com,"GHG-Faktoren, LCI, Umweltfaktoren"
Boavizta,GHG-Faktoren für Produkte und Nutzung. GHG-Faktoren für Endgeräte (inkl. Nutzung). Durchschnittsdaten.,Berechnung,CCF,Mittel,"kostenlos einsehbar, veröffentlicht unter offener Lizenz (Open Database Licence)",https://dataviz.boavizta.org/,GHG-Faktoren
GTAP,"Input/Output-Datenbank. Die Datenbank enthält u.a. Kategorien wie “Manufacture of computer, electronic and optical products”, “Mining of metal ores”, …, die für verschiedene Stufen der Elektronik-Lieferkette relevant sind. Ausgabenbasiert.",Berechnung,CCF,Hoch,"kostenpflichtige Lizenzen, teilweise aggregierte Varianten und ältere Versionen kostenlos verfügbar",https://www.gtap.agecon.purdue.edu,"GHG-Faktoren, LCI, Umweltfaktoren"
Negaoctet,LCA-Datenbank für “Digital Services”. LCA-Daten für Komponenten und Geräte. Durchschnittsdaten.,Berechnung,CCF,Hoch,eine eingeschränkte kostenfreie Variante ist Teil von Ademe (auch in der Liste); die vollständige Variante ist kostenpflichtig,https://negaoctet.org/,"GHG-Faktoren, LCI, Umweltfaktoren"
,,,,,,,
